year,prob,conf_raw,conf_cal,god,consensus,pick,real,hit,tier
2024,0.28923614132657094,71.1,59.7,False,3,0,0,1,STANDARD
2024,0.6272961833128229,62.7,59.7,False,4,1,1,1,STANDARD
2024,0.5895795789487646,59.0,53.5,False,4,1,1,1,STANDARD
2024,0.2702373410964451,73.0,63.2,False,4,0,1,0,STANDARD
2024,0.7533159783575549,75.3,67.7,False,3,1,0,0,VOLUMEN
2024,0.6171053922716383,61.7,59.7,False,4,1,1,1,STANDARD
2024,0.6956878976018726,69.6,60.3,False,4,1,1,1,STANDARD
2024,0.5472413466356126,54.7,43.0,False,4,1,0,0,STANDARD
2024,0.8125778435284953,81.3,61.1,False,4,1,1,1,STANDARD
2024,0.5540667478387284,55.4,53.5,False,4,1,1,1,STANDARD
2024,0.21200811791269014,78.8,71.2,False,3,0,0,1,VOLUMEN
2024,0.4372495168284871,56.3,50.0,False,4,0,1,0,STANDARD
2024,0.44682262945942386,55.3,53.5,False,1,0,1,0,STANDARD
2024,0.5600340721512342,56.0,53.5,False,4,1,0,0,STANDARD
2024,0.5324461127193512,53.2,43.0,False,1,1,0,0,STANDARD
2024,0.3907340020485612,60.9,59.7,False,3,0,1,0,STANDARD
2024,0.8821498288329246,88.2,81.8,True,4,1,1,1,GOD
2024,0.4434956102551709,55.7,53.5,False,1,0,0,1,STANDARD
2024,0.2648884213752957,73.5,63.2,False,4,0,0,1,STANDARD
2024,0.8723292174364072,87.2,81.8,True,4,1,1,1,GOD
2024,0.6659521313081836,66.6,60.3,False,3,1,0,0,STANDARD
2024,0.8650639203008905,86.5,81.8,True,4,1,1,1,GOD
2024,0.5285547827702682,52.9,43.0,False,3,1,1,1,STANDARD
2024,0.5038526860203552,50.4,43.0,False,2,1,0,0,STANDARD
2024,0.21119520621761273,78.9,71.2,False,4,0,0,1,VOLUMEN
2024,0.5469737268265127,54.7,43.0,False,4,1,1,1,STANDARD
2024,0.4260388162373868,57.4,53.5,False,4,0,1,0,STANDARD
2024,0.7935082159855786,79.4,71.2,True,4,1,1,1,VOLUMEN
2024,0.579661129336459,58.0,53.5,False,4,1,1,1,STANDARD
2024,0.33909114897270287,66.1,60.3,False,4,0,0,1,STANDARD
2024,0.4882607647725472,51.2,43.0,False,3,0,1,0,STANDARD
2024,0.1731759898722343,82.7,57.6,True,3,0,0,1,STANDARD
2024,0.251735396043689,74.8,63.2,False,3,0,0,1,STANDARD
2024,0.7523745212050644,75.2,71.2,False,4,1,0,0,VOLUMEN
2024,0.8536390579289537,85.4,81.8,True,4,1,1,1,GOD
2024,0.6138408884925448,61.4,59.7,False,4,1,1,1,STANDARD
2024,0.6057756503709875,60.6,59.7,False,4,1,1,1,STANDARD
2024,0.8510798054623081,85.1,81.8,True,3,1,0,0,GOD
2024,0.5837284314370937,58.4,53.5,False,4,1,0,0,STANDARD
2024,0.648444999305203,64.8,59.7,False,4,1,0,0,STANDARD
2024,0.20900451132667364,79.1,71.2,False,4,0,1,0,VOLUMEN
2024,0.61099913357192,61.1,59.7,False,4,1,1,1,STANDARD
2024,0.6719148136579753,67.2,63.8,False,3,1,1,1,STANDARD
2024,0.2338814326261895,76.6,67.7,False,3,0,0,1,VOLUMEN
2024,0.3477966554783205,65.2,60.3,False,4,0,1,0,STANDARD
2024,0.19902109400380777,80.1,61.1,True,4,0,1,0,STANDARD
2024,0.6856755759906296,68.6,63.8,False,4,1,1,1,STANDARD
2024,0.658227532539272,65.8,63.8,False,4,1,1,1,STANDARD
2024,0.8415641235816582,84.2,61.1,True,3,1,0,0,STANDARD
2024,0.5619082943311815,56.2,53.5,False,4,1,1,1,STANDARD
2024,0.8086535883336536,80.9,57.6,True,4,1,0,0,STANDARD
2024,0.7488911737020603,74.9,63.2,False,3,1,1,1,STANDARD
2024,0.367735481391942,63.2,59.7,False,1,0,0,1,STANDARD
2024,0.5835349842732835,58.4,50.0,False,3,1,0,0,STANDARD
2024,0.6629801121353998,66.3,60.3,False,4,1,0,0,STANDARD
2024,0.74651108895043,74.7,63.2,False,4,1,1,1,STANDARD
2024,0.2001653037554874,80.0,61.1,True,4,0,0,1,STANDARD
2024,0.2432498406285433,75.7,71.2,True,4,0,0,1,VOLUMEN
2024,0.6529445225673614,65.3,63.8,False,3,1,1,1,STANDARD
2024,0.17130456513410094,82.9,61.1,False,4,0,0,1,STANDARD
2024,0.8543805284097441,85.4,81.8,True,4,1,0,0,GOD
2024,0.4170370112123187,58.3,53.5,False,3,0,0,1,STANDARD
2024,0.47536939615371276,52.5,43.0,False,1,0,0,1,STANDARD
2024,0.8839423206606268,88.4,81.8,True,4,1,1,1,GOD
2024,0.5847346745318538,58.5,53.5,False,4,1,0,0,STANDARD
2024,0.7148965969557227,71.5,63.2,False,4,1,1,1,STANDARD
2024,0.3327152246726507,66.7,63.8,False,4,0,0,1,STANDARD
2024,0.8347579108390578,83.5,61.1,False,4,1,1,1,STANDARD
2024,0.36773462570525606,63.2,59.7,False,3,0,1,0,STANDARD
2024,0.8511298538159058,85.1,81.8,True,4,1,0,0,GOD
2024,0.17673994890131278,82.3,57.6,False,4,0,1,0,STANDARD
2024,0.4083970609794196,59.2,53.5,False,4,0,0,1,STANDARD
2024,0.7707393785676337,77.1,71.2,False,4,1,1,1,VOLUMEN
2024,0.20647094500090804,79.4,71.2,False,4,0,0,1,VOLUMEN
2024,0.8659801761739678,86.6,81.8,True,4,1,1,1,GOD
2024,0.4273809724142577,57.3,53.5,False,2,0,0,1,STANDARD
2024,0.5392410433442589,53.9,43.0,False,4,1,0,0,STANDARD
2024,0.7766883172024637,77.7,71.2,False,3,1,0,0,VOLUMEN
2024,0.5269031112694689,52.7,43.0,False,2,1,1,1,STANDARD
2024,0.4326451347986442,56.7,50.0,False,2,0,1,0,STANDARD
2024,0.6239597291704759,62.4,59.7,False,4,1,0,0,STANDARD
2024,0.401752321915207,59.8,53.5,False,3,0,0,1,STANDARD
2024,0.4181669561816659,58.2,50.0,False,1,0,0,1,STANDARD
2024,0.42271338462219443,57.7,53.5,False,4,0,1,0,STANDARD
2024,0.5233447483067486,52.3,43.0,False,3,1,1,1,STANDARD
2024,0.42683163248413164,57.3,50.0,False,1,0,0,1,STANDARD
2024,0.3433619125848841,65.7,63.8,False,1,0,1,0,STANDARD
2024,0.3304407632014962,67.0,63.8,False,4,0,1,0,STANDARD
2024,0.1952465445139072,80.5,61.1,False,4,0,0,1,STANDARD
2024,0.18599841484788587,81.4,61.1,False,3,0,0,1,STANDARD
2024,0.43038886443914615,57.0,53.5,False,4,0,0,1,STANDARD
2024,0.601513853692486,60.2,59.7,False,4,1,1,1,STANDARD
2024,0.2070603000054242,79.3,71.2,True,4,0,0,1,VOLUMEN
2024,0.7058241833721275,70.6,59.7,False,4,1,0,0,STANDARD
2024,0.398994580691316,60.1,59.7,False,4,0,0,1,STANDARD
2024,0.5906371372981606,59.1,53.5,False,1,1,0,0,STANDARD
2024,0.6737290790092164,67.4,63.8,False,3,1,1,1,STANDARD
2024,0.8046506571284646,80.5,61.1,True,4,1,0,0,STANDARD
2024,0.20567347919147275,79.4,71.2,False,4,0,0,1,VOLUMEN
2024,0.3324799806565147,66.8,60.3,False,1,0,1,0,STANDARD
2024,0.5407195997694818,54.1,39.5,False,4,1,0,0,STANDARD
2024,0.7182808286250095,71.8,63.2,False,4,1,0,0,STANDARD
2024,0.5241463140824311,52.4,43.0,False,4,1,1,1,STANDARD
2024,0.22134977990828786,77.9,71.2,False,4,0,1,0,VOLUMEN
2024,0.7433471565800267,74.3,63.2,False,4,1,1,1,STANDARD
2024,0.4418021018337541,55.8,53.5,False,2,0,0,1,STANDARD
2024,0.2935988070211225,70.6,63.2,False,2,0,0,1,STANDARD
2024,0.17559664094470478,82.4,61.1,False,3,0,0,1,STANDARD
2024,0.4419883974846996,55.8,53.5,False,2,0,0,1,STANDARD
